NT Straight
Mat 1
Mat 2:1–18
Mat 2:19–3:17
Mat 4:1–22
Mat 4:23–5:20
Mat 5:21–42
Mat 5:43–6:15
Mat 6:16–7:6
Mat 7:7–23
Mat 7:24–8:17
Mat 8:18–9:8
Mat 9:9–26
Mat 9:27–38
Mat 10
Mat 11:1–24
Mat 11:25–12:14
Mat 12:15–37
Mat 12:38–50
Mat 13:1–23
Mat 13:24–43
Mat 13:44–14:12
Mat 14:13–36
Mat 15:1–20
Mat 15:21–39
Mat 16:1–20
Mat 16:21–17:13
Mat 17:14–18:5
Mat 18:6–35
Mat 19:1–15
Mat 19:16–20:16
Mat 20:17–28
Mat 20:29–21:17
Mat 21:18–46
Mat 22:1–14
Mat 22:15–33
Mat 22:34–23:12
Mat 23:13–39
Mat 24:1–35
Mat 24:36–51
Mat 25:1–13
Mat 25:14–30
Mat 25:31–26:5
Mat 26:6–30
Mat 26:31–56
Mat 26:57–75
Mat 27:1–26
Mat 27:27–44
Mat 27:45–61
Mat 27:62–28:20
Mk 1:1–20
Mk 1:21–39
Mk 1:40–2:17
Mk 2:18–3:12
Mk 3:13–35
Mk 4:1–20
Mk 4:21–41
Mk 5
Mk 6:1–6
Mk 6:6–29
Mk 6:30–44
Mk 6:45–7:23
Mk 7:24–30
Mk 7:31–8:21
Mk 8:22–38
Mk 9:1–29
Mk 9:30–50
Mk 10:1–16
Mk 10:17–45
Mk 10:46–11:11
Mk 11:12–33
Mk 12:1–17
Mk 12:18–40
Mk 12:41–13:31
Mk 13:32–37
Mk 14:1–26
Mk 14:27–52
Mk 14:53–72
Mk 15:1–20
Mk 15:21–41
Mk 15:42–16:20
Luk 1:1–25
Luk 1:26–38
Luk 1:39–66
Luk 1:67–80
Luk 2:1–21
Luk 2:22–52
Luk 3:1–20
Luk 3:21–38
Luk 4:1–30
Luk 4:31–44
Luk 5:1–26
Luk 5:27–6:11
Luk 6:12–26
Luk 6:27–45
Luk 6:46–7:17
Luk 7:18–50
Luk 8:1–15
Luk 8:16–39
Luk 8:40–56
Luk 9:1–20
Luk 9:21–43
Luk 9:43–10:24
Luk 10:25–37
Luk 10:38–11:13
Luk 11:14–28
Luk 11:29–54
Luk 12:1–21
Luk 12:22–48
Luk 12:49–59
Luk 13:1–21
Luk 13:22–14:14
Luk 14:15–35
Luk 15
Luk 16:1–15
Luk 16:16–31
Luk 17:1–19
Luk 17:20–18:8
Luk 18:9–30
Luk 18:31–19:10
Luk 19:11–27
Luk 19:28–48
Luk 20:1–26
Luk 20:27–44
Luk 20:45–21:38
Luk 22:1–6
Luk 22:7–38
Luk 22:39–46
Luk 22:47–23:25
Luk 23:26–43
Luk 23:44–49
Luk 23:50–24:12
Luk 24:13–35
Luk 24:36–49
Luk 24:50–53; John 1:1–18
John 1:19–42
John 1:43–2:12
John 2:13–3:21
John 3:22–36
John 4:1–26
John 4:27–38
John 4:39–5:15
John 5:16–30
John 5:31–6:15
John 6:16–24
John 6:25–59
John 6:60–71
John 7:1–24
John 7:25–44
John 7:45–8:11
John 8:12–30
John 8:31–59
John 9:1–34
John 9:35–41
John 10:1–21
John 10:22–42
John 11:1–37
John 11:38–44
John 11:45–12:11
John 12:12–36
John 12:37–50
John 13:1–30
John 13:31–14:4
John 14:5–31
John 15:1–17
John 15:18–16:15
John 16:16–33
John 17
John 18:1–18
John 18:19–40
John 19:1–27
John 19:28–42
John 20:1–23
John 20:24–21:14
John 21:15–25; Acts 1:1–11
Acts 1:12–2:13
Acts 2:14–41
Acts 2:42–3:10
Acts 3:11–26
Acts 4:1–22
Acts 4:23–5:11
Acts 5:12–42
Acts 6:1–7
Acts 6:8–15
Acts 7:1–53
Acts 7:54–8:3
Acts 8:4–25
Acts 8:26–40
Acts 9:1–31
Acts 9:32–43
Acts 10:1–23
Acts 10:23–48
Acts 11:1–18
Acts 11:19–12:19
Acts 12:19–13:3
Acts 13:4–52
Acts 14:1–7
Acts 14:8–20
Acts 14:21–15:21
Acts 15:22–35
Acts 15:36–16:15
Acts 16:16–40
Acts 17
Acts 18:1–17
Acts 18:18–28
Acts 19:1–22
Acts 19:23–20:6
Acts 20:7–38
Acts 21:1–16
Acts 21:17–36
Acts 21:37–22:21
Acts 22:22–23:11
Acts 23:12–35
Acts 24
Acts 25:1–12
Acts 25:13–27
Acts 26
Acts 27:1–12
Acts 27:13–44
Acts 28:1–16
Acts 28:17–31; Rom 1:1–7
Rom 1:8–32
Rom 2:1–16
Rom 2:17–3:8
Rom 3:9–31
Rom 4
Rom 5
Rom 6
Rom 7
Rom 8:1–17
Rom 8:18–39
Rom 9:1–29
Rom 9:30–10:21
Rom 11:1–10
Rom 11:11–32
Rom 11:33–12:21
Rom 13:1–15:13
Rom 15:14–22
Rom 15:23–33
Rom 16
1 Co 1:1–9
1 Co 1:10–2:5
1 Co 2:6–3:23
1 Co 4:1–13
1 Co 4:14–5:13
1 Co 6:1–11
1 Co 6:12–7:16
1 Co 7:17–40
1 Co 8:1–9:18
1 Co 9:19–27
1 Co 10:1–22
1 Co 10:23–11:16
1 Co 11:17–34
1 Co 12
1 Co 13
1 Co 14:1–25
1 Co 14:26–40
1 Co 15:1–34
1 Co 15:35–58
1 Co 16:1–18
1 Co 16:19–24; 2 Co 1:1–11
2 Co 1:12–2:4
2 Co 2:5–3:6
2 Co 3:7–4:18
2 Co 5:1–6:2
2 Co 6:3–7:1
2 Co 7:2–8:15
2 Co 8:16–9:5
2 Co 9:6–10:18
2 Co 11:1–15
2 Co 11:16–33
2 Co 12:1–13:10
2 Co 13:11–Gal 1:10
Gal 1:11–2:10
Gal 2:11–3:14
Gal 3:15–4:7
Gal 4:8–31
Gal 5:1–12
Gal 5:13–6:10
Gal 6:11–18; Eph 1:1–14
Eph 1:15–2:10
Eph 2:11–3:13
Eph 3:14–4:16
Eph 4:17–32
Eph 5
Eph 6:1–20
Eph 6:21–24; Phil 1:1–11
Phil 1:12–30
Phil 2
Phil 3:1–14
Phil 3:15–4:20
Phil 4:21–23; Col 1:1–14
Col 1:15–2:15
Col 2:16–3:17
Col 3:18–4:6
Col 4:7–18; 1 Th 1
1 Th 2
1 Th 3:1–4:12
1 Th 4:13–5:11
1 Th 5:12–28; 2 Th 1
2 Th 2
2 Th 3
1 Ti 1–2
1 Ti 3:1–13
1 Ti 3:14–4:16
1 Ti 5:1–6:2
1 Ti 6:2–2 Ti 1:2
2 Ti 1
2 Ti 2–3
2 Ti 4:1–8
2 Ti 4:9–22
Tit 1–2
Tit 3
Phlm 1
Heb 1:1–2:4
Heb 2:5–3:6
Heb 3:7–4:16
Heb 5
Heb 6:1–7:10
Heb 7:11–28
Heb 8:1–9:10
Heb 9:11–28
Heb 10
Heb 11:1–12:3
"2025-06-20",""
Heb 12:4–17
Heb 12:18–29
Heb 13
Jam 1:1–18
Jam 1:19–2:13
Jam 2:14–3:12
Jam 3:13–4:12
Jam 4:13–5:20
1 Pe 1:1–2:3
1 Pe 2:4–3:7
1 Pe 3:8–22
1 Pe 4
1 Pe 5; 2 Pe 1:1–2
2 Pe 1:3–2:22
2 Pe 3
1 Jn 1:1–2:2
1 Jn 2:3–17
1 Jn 2:18–3:10
1 Jn 3:11–4:21
1 Jn 5:1–12
1 Jn 5:13–21; 2 Jn 1
3 Jn 1; Jude 1:1–16
Jude 1:17–25; Rev 1:1–3
Rev 1:4–2:7
Rev 2:8–29
Rev 3
Rev 4–5
Rev 6
Rev 7:1–8:5
Rev 8:6–9:21
Rev 10:1–11:14
Rev 11:15–12:17
Rev 13:1–10
Rev 13:11–14:13
Rev 14:14–16:21
Rev 17
Rev 18:1–20
Rev 18:21–19:10
Rev 19:11–20:10
Rev 20:11–21:27
Rev 22:1–21
