OT+NT Mixed

Gen 1–3; Mat 1
Gen 4–5; Mat 2:1–18
Gen 6–8; Mat 2:19–3:17
Gen 9–10; Mat 4:1–22
Gen 11–12; Mat 4:23–5:20
Gen 13–15; Mat 5:21–42
Gen 16–18; Mat 5:43–6:15
Gen 19–20; Mat 6:16–34
Gen 21–22; Mat 7:1–23
Gen 23–24; Mat 7:24–8:17
Gen 25–26; Mat 8:18–9:8
Gen 27:1–28:9; Mat 9:9–26
Gen 28:10–29:30; Mat 9:27–10:42
Gen 29:31–31:21; Mat 11:1–19
Gen 31:22–32:21; Mat 11:20–24
Gen 32:22–34:31; Mat 11:25–12:14
Gen 35–36; Mat 12:15–37
Gen 37–38; Mat 12:38–45
Gen 39:1–41:40; Mat 12:46–13:23
Gen 41:41–42:38; Mat 13:24–43
Gen 43–44; Mat 13:44–14:12
Gen 45:1–47:12; Mat 14:13–36
Gen 47:13–48:22; Mat 15:1–20
Gen 49:1–50:14; Mat 15:21–39
Gen 50:15–26; Ex 1–2; Mat 16:1–20
Ex 3–5; Mat 16:21–17:13
Ex 6–7; Mat 17:14–18:5
Ex 8–9; Mat 18:6–35
Ex 10:1–12:30; Mat 19:1–12
Ex 12:31–14:31; Mat 19:13–20:16
Ex 15–16; Mat 20:17–28
Ex 17–18; Mat 20:29–21:17
Ex 19:1–21:11; Mat 21:18–46
Ex 21:12–23:9; Mat 22:1–14
Ex 23:10–25:22; Mat 22:15–33
Ex 25:23–27:8; Mat 22:34–23:12
Ex 27:9–29:46; Mat 23:13–39
Ex 30:1–21; Mat 24:1–35
Ex 30:22–33:6; Mat 24:36–51
Ex 33:7–34:35; Mat 25:1–13
Ex 35–36; Mat 25:14–30
Ex 37:1–38:20; Mat 25:31–26:5
Ex 38:21–40:33; Mat 26:6–30
Ex 40:34–38; Lev 1–3; Mat 26:31–46
Lev 4:1–5:13; Mat 26:47–68
Lev 5:14–7:27; Mat 26:69–27:26
Lev 7:28–9:24; Mat 27:27–44
Lev 10–11; Mat 27:45–61
Lev 12:1–13:46; Mat 27:62–28:15
Lev 13:47–14:57; Mat 28:16–20; Mk 1:1–15
Lev 15–16; Mk 1:16–39
Lev 17–19; Mk 1:40–2:17
Lev 20:1–22:16; Mk 2:18–3:12
Lev 22:17–23:44; Mk 3:13–35
Lev 24:1–25:7; Mk 4:1–20
Lev 25:8–26:46; Mk 4:21–41
Lev 27; Mk 5:1–20
Num 1–2; Mk 5:21–43
Num 3; Mk 6:1–29
Num 4; Mk 6:30–44
Num 5–7; Mk 6:45–7:23
Num 8:1–4; Mk 7:24–30
Num 8:5–9:23; Mk 7:31–8:13
Num 10–11; Mk 8:14–38
