OT w/ Dailiy Psalm
Gen 1-2; Ps 1
Gen 3-5; Ps 2
Gen 6-8; Ps 3
Gen 9-11; Ps 4
Gen 12-14; Ps 5
Gen 15-17; Ps 6
Gen 18-19; Ps 7
Gen 20-22; Ps 8
Gen 23-24; Ps 9
Gen 25; Ps 10
Gen 26-27; Ps 11
Gen 28-29; Ps 12
Gen 30-31; Ps 13
Gen 32-33; Ps 14
Gen 34-35; Ps 15
Gen 36-37; Ps 16
Gen 38-39; Ps 17
Gen 40-41; Ps 18
Gen 42-43; Ps 19
Gen 44-45; Ps 20
Gen 46-47; Ps 21
Gen 48-49; Ps 22
Gen 50; Ex 1-2; Ps 23
Ex 3-4; Ps 24
Ex 5-7; Ps 25
Ex 8; Ps 26
Ex 9-11; Ps 27
Ex 12; Ps 28
Ex 13-14; Ps 29
Ex 15-16; Ps 30
Ex 17-19; Ps 31
Ex 20-21; Ps 32
Ex 22-23; Ps 33
Ex 24-26; Ps 34
Ex 27-28; Ps 35
Ex 29; Ps 36
Ex 30-31; Ps 37
Ex 32-33; Ps 38
Ex 34-35; Ps 39
Ex 36-37; Ps 40
Ex 38-39; Ps 41
Ex 40; Lev 1; Ps 42
Lev 2-4; Ps 43
Lev 5-6; Ps 44
Lev 7-8; Ps 45
Lev 9-10; Ps 46
Lev 11-12; Ps 47
Lev 13; Ps 48
Lev 14; Ps 49
Lev 15-16; Ps 50
Lev 17-18; Ps 51
Lev 19-20; Ps 52
Lev 21-22; Ps 53
Lev 23-24; Ps 54
Lev 25; Ps 55
Lev 26-27; Ps 56
Num 1; Ps 57
Num 2-3; Ps 58
Num 4; Ps 59
Num 5-6; Ps 60
Num 7; Ps 61
Num 8-9; Ps 62
Num 10-11; Ps 63
Num 12-13; Ps 64
Num 14-15; Ps 65
Num 16-17; Ps 66
Num 18-19; Ps 67
Num 20-21; Ps 68
Num 22; Ps 69
Num 23-25; Ps 70
Num 26-27; Ps 71
Num 28-29; Ps 72
Num 30-31; Ps 73
Num 32; Ps 74
Num 33-34; Ps 75
Num 35-36; Ps 76
Deut 1-2; Ps 77
Deut 3-4; Ps 78
Deut 5; Ps 79
Deut 6-7; Ps 80
Deut 8-10; Ps 81
Deut 11; Ps 82
Deut 12-14; Ps 83
Deut 15-16; Ps 84
Deut 17-18; Ps 85
Deut 19-21; Ps 86
Deut 22-23; Ps 87
Deut 24-25; Ps 88
Deut 26-27; Ps 89
Deut 28; Ps 90
Deut 29-30; Ps 91
Deut 31-32; Ps 92
Deut 33-34; Ps 93
Josh 1-3; Ps 94
Josh 4-6; Ps 95
Josh 7; Ps 96
Josh 8-9; Ps 97
Josh 10; Ps 98
Josh 11-13; Ps 99
Josh 14-16; Ps 100
Josh 17-18; Ps 101
Josh 19-21; Ps 102
Josh 22; Ps 103
Josh 23-24; Ps 104
Jdg 1-2; Ps 105
Jdg 3-4; Ps 106
Jdg 5-6; Ps 107
Jdg 7-8; Ps 108
Jdg 9; Ps 109
Jdg 10-11; Ps 110
Jdg 12-13; Ps 111
Jdg 14-15; Ps 112
Jdg 16-18; Ps 113
Jdg 19; Ps 114
Jdg 20; Ps 115
Jdg 21; Rut 1-2; Ps 116
Rut 3-4; Ps 117
1 Sa 1-2; Ps 118
1 Sa 3-5; Ps 119
1 Sa 6-8; Ps 120
1 Sa 9-10; Ps 121
1 Sa 11-12; Ps 122
1 Sa 13-14; Ps 123
1 Sa 15; Ps 124
1 Sa 16-17; Ps 125
1 Sa 18-19; Ps 126
1 Sa 20; Ps 127
1 Sa 21-23; Ps 128
1 Sa 24-25; Ps 129
1 Sa 26; Ps 130
1 Sa 27-29; Ps 131
1 Sa 30-31; 2 Sa 1; Ps 132
